"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Categories","Images","Upsells","Cross-sells","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Sale price","Regular price"
"Simple","DR00157","Yellow Gold Heart Shape Diamond Ring for Women",1,,"visible","18KT YELLOW GOLD DIAMOND RING HEART SHAPE FOR WOMEN"," <li>18k YELLOW gold HEART SHAPE DIAMOND RING FOR WOMEN </li>\n  <li> </li>\SIZE 55<li>Diamond 0.86 carrat Gold Gram total weight 3.10</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00157.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00157.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Heart Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"52 MM 53 MM 54 MM 55 MM 56 MM 57 MM 58 MM",1,1,"Gold Weight  (g)",3.7,1,1,"Diamond Carat (Cts)",0.86,1,1,,,,,"4,834","5,371"
"Simple","DE00149","White Gold Diamond Earring for women",1,,"visible","18KT WHITE GOLD EARING FOR WOMAN"," <li>18k WHITE  DIAMOND EARRING FOR WOMEN </li>\n  <li> </li>\SIZE M <li>Diamond 1.37 carrat Gold Gram total weight 3.70</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00149.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00149.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.7,1,1,"Diamond Carat (Cts)",1.37,1,1,,,,,"7,333","8,148"
"Simple","DP00167","White Gold Diamond Heart Pendant for women",1,,"visible","18KT YELLOW GOLD HEART SHAPE PENDANT"," <li>18k WHITE  DIAMOND EARRING FOR WOMEN </li>\n  <li> </li>\SIZE M <li>Diamond 0.67 carrat Gold Gram total weight 3.33</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00167.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Heart Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.33,1,1,"Diamond Carat (Cts)",0.67,1,1,,,,,"4,243","4,714"
"Simple","DR00138","Yellow Gold Diamond Square Face Ring for Women",1,,"visible","18KT YELLOW GOLD SQURE CUT DIAMOND RING"," <li>18k YELLOW GOLD DIAMOND EARRING FOR WOMEN </li>\n  <li> </li>\SIZE 55 <li>Diamond 0.84 carrat Gold Gram total weight 3.16</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00138.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00138.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Square Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"52 MM 53 MM 54 MM 55 MM 56 MM 57 MM 58 MM",1,1,"Gold Weight  (g)",3.16,1,1,"Diamond Carat (Cts)",0.84,1,1,,,,,"4,458","4,953"
"Simple","DE00142","Yellow Gold Square Face Diamond Earring for Women",1,,"visible","18KT YELLOW GOLD DIAMOND EARING"," <li>18k YELLOW GOLD SQURE FACE DIAMOND EARRING FOR WOMEN </li>\n  <li> </li>\SIZE M <li>Diamond 1.31 carrat Gold Gram total weight 4.17</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00142.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00142.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Square Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",4.17,1,1,"Diamond Carat (Cts)",1.31,1,1,,,,,"6,728","7,476"
"Simple","DP00166","Yellow Gold Square Face Diamond Pendant for Women",1,,"visible","18KT YELLOW GOLD DIAMOND PENDANT SQURE"," <li>18k YELLOW GOLD SQURE FACE DIAMOND PENDANT FOR WOMEN </li>\n  <li> </li>\SIZE M <li>Diamond 0.64 carrat Gold Gram total weight 2.84</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00166.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Square Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",2.84,1,1,"Diamond Carat (Cts)",0.64,1,1,,,,,"3,627","4,030"
"Simple","BR00085","Yellow Gold Bracelet for Men",1,,"visible","18KT YELLOW GOLD BRACELET FOR MEN"," <li>18k YELLOW GOLD BRACELET FOR MEN </li>\n  <li> </li>\Size 21 CM <li>GoldGram total weight 27.13</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00085.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Square Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"19 CM 20 CM 21 CM",1,1,"Gold Weight  (g)",27.13,1,1,,,,,,,,,,"7,976"
"Simple","CH00035","Yellow Gold Chain for Men",1,,"visible","18KT YELLOW GOLD CHAIN FOR MEN"," <li>18k YELLOW GOLD CHAIN FOR MEN </li>\n  <li> </li>\SIZE Medium <li>Gold Gram total weight 79.03</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Chains","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-CH00035.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-CH00035.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-CH00035.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-CH00035.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Square Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"24 CM 25 CM 26 CM 27 CM 28 CM 29 CM",1,1,"Gold Weight  (g)",79.03,1,1,,,,,,,,,,"23,235"
"Simple","BR00095","Yellow Gold Bracelet for Men",1,,"visible","18 KT YELLOW GOLD BRACELET FOR MEN"," <li>18k YELLOW GOLD BRACELET  FOR MEN </li>\n  <li> </li>\SIZE 19 <li>Gold Gram total weight 30.44</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00095.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00095.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Big Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"19 CM 20 CM 21 CM",1,1,"Gold Weight  (g)",30.44,1,1,,,,,,,,,,"8,949"
"Simple","CH00028","Yellow Gold Chain for Men",1,,"visible","18KT YELLOW GOLD BIG CHAIN FOR MEN"," <li>18k YELLOW GOLD BIG CHAIN FOR MEN </li>\n  <li> </li>\SIZE large<li>Gold Gram total weight 80.09</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Chains","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-CH00028.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Large Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"24 CM 25 CM 26 CM 27 CM 28 CM 29 CM",1,1,"Gold Weight  (g)",80.09,1,1,,,,,,,,,,"23,546"
"Simple","BR00104","Yellow Gold Bracelet for Men",1,,"visible","18KT YELLOW GOLD BRACELLET FOR MEN"," <li>18k YELLOW GOLD BRACELET  FOR MEN </li>\n  <li> </li>\SIZE 19 <li>Gold Gram total weight 29.44</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00104.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00104.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Big Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"19 CM 20 CM 21 CM",1,1,"Gold Weight  (g)",29.44,1,1,,,,,,,,,,"8,655"
"Simple","CH00051","Yellow Gold Chain for Men",1,,"visible","18KT YELLOW GOLD CHAIN FOR MEN"," <li>18k YELLOW GOLD BIG CHAIN FOR MEN </li>\n  <li> </li>\SIZE large<li>Gold Gram total weight 64.98</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Chains","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-CH00051.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Big Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"21 CM 22 CM 23 CM 24 CM",1,1,"Gold Weight  (g)",64.98,1,1,,,,,,,,,,"19,104"
"Simple","BR00108","Yellow Gold Bracelet for Men",1,,"visible","18KT YELLOW GOLD BRACELLET FOR MEN"," <li>18k YELLOW GOLD BRACELET  FOR MEN </li>\n  <li> </li>\SIZE 19 <li>Gold Gram total weight 16.03</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00108.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00108.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Thin Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"19 CM 20 CM 21 CM",1,1,"Gold Weight  (g)",16.03,1,1,,,,,,,,,,"4,713"
"Simple","CH00032","Yellow Gold Chain for Men",1,,"visible","18KT YELLOW GOLD CHAIN FOR MEN"," <li>18k YELLOW GOLD BIG CHAIN FOR MEN </li>\n  <li> size Large</li>\<li>Gold Gram total weight 44.67</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Chains","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-CH00032.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Thin Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"21 CM 22 CM 23 CM 24 CM 25 CM 26 CM 27 CM 28 CM",1,1,"Gold Weight  (g)",44.67,1,1,,,,,,,,,,"13,133"
"Simple","DP00143","White Gold Diamond Pendant for women",1,,"visible","18KT WHITE GOLD DIAMOND PENDANT  NECKLACE FOR WOMAN"," <li>18k WHITE GOLD  DIAMOND PENDANT FOR NECKLACE WOMEN </li>\n  <li>M </li>\n  <li>DI.1.41 Carat Gold Gram total weight 2.69</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00143.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DP00143.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",2.69,1,1,"Diamond Carat (Cts)",1.41,1,1,,,,,"7,210","8,012"
"Simple","DP00168","Yellow Gold Leaf Diamond Pendant fro Women",1,,"visible","18KT YELLOW GOLD DAIMOND  LEAF PENDANT FOR NECKLACE"," <li>18k YELLOW GOLD  DIAMOND LEAF PENDANT FOR  WOMEN </li>\n  <li>M </li>\n  <li>DI.0.59 Carat Gold Gram total weight 3.02</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00168.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Leaf Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.02,1,1,"Diamond Carat (Cts)",0.59,1,1,,,,,"3,552","3,947"
"Simple","DR00174","Yellow Gold Diamond Wedding Ring for Women",1,,"visible","18KT YELLOW GOLD DIAMOND WEDDING RING FOR WOMEN"," <li>18k YELLOW GOLD DIAMOND RING FOR  WOMEN </li>\n  <li>SIZE 54 </li>\n  <li>DI.0.86 Carat Gold Gram total weight 3.02</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00174.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00174.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00174.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00174.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",3.02,1,1,"Diamond Carat (Cts)",0.86,1,1,,,,,"4,467","4,964"
"Simple","DR00127","White Gold Diamond Ring for women",1,,"visible","18KT WHITE GOLD DIAMOND RING"," <li>18k WHITE  GOLD DIAMOND RING FOR  WOMEN </li>\n  <li>SIZE 55</li>\n  <li>DI.0.78 Carat Gold Gram total weight 2.76</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00127.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00127.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"52 MM 53 MM 54 MM 55 MM 56 MM 57 MM 58 MM",1,1,"Gold Weight  (g)",2.76,1,1,"Diamond Carat (Cts)",0.78,1,1,,,,,"3,948","4,386"
"Simple","DE00167","Yellow Gold Diamond Earring",1,,"visible","18KT Yellow Gold Diamond Earring"," <li>18k YELLOW  GOLD DIAMOND EARRING FOR  WOMEN </li>\n  <li>SIZE MEDIUM </li>\n  <li>DI.1.72 Carat Gold Gram total weight 4.15</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00167.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00167.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",4.15,1,1,"Diamond Carat (Cts)",1.72,1,1,,,,,"8,451","9,390"
"Simple","DR00176","Yellow Gold Diamond Ring for Women",1,,"visible","18KT YELLOW GOLD DIAMOND RING FOR WOMAN"," <li>18k YELLOW  GOLD DIAMOND RING FOR  WOMEN </li>\n  <li>SIZE 53</li>\n  <li>DI.1.06 Carat Gold Gram total weight 3.37</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00176.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00176.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00176.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00176.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",3.37,1,1,"Diamond Carat (Cts)",1.06,1,1,,,,,"5,481","6,090"
"Simple","DP00170","Yellow Gold Diamond Pendant for Women",1,,"visible","18KT YELLOW GOLD DIAMOND PENDANT"," <li>18k YELLOW  GOLD DIAMOND PENDANT FOR  WOMEN </li>\n  <li>SIZE M </li>\n  <li>DI.0.87Carat Gold Gram total weight 2.85</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00170.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",2.85,1,1,"Diamond Carat (Cts)",0.87,1,1,,,,,"4,563","5,070"
"Simple","DP00146","White Gold Diamond wedding  Pendant  for women",1,,"visible","18KT WHITE GOLD DIAMOND WEDDING SET PENDANT  FOR WOMAN"," <li>18k WHITE  GOLD DIAMOND PENDANT FOR  WOMEN </li>\n  <li>SIZE M </li>\n  <li>DI.0.64 Carat Gold Gram total weight 3.19 </li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00146.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.19,1,1,"Diamond Carat (Cts)",0.64,1,1,,,,,"3,674","4,082"
"Simple","DR00148","White Gold Diamond Wedding Ring for women",1,,"visible","18KT WHITE GOLD DIAMOND WEDDING SET RING  FOR WOMAN"," <li>18k WHITE  Gold Diamond wedding Ring  for women </li>\n  <li>SIZE 55 </li>\n  <li>DI.0.93 Carat Gold Gram total weight 2.79 </li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00148.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00148.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"52 MM 53 MM 54 MM 55 MM 56 MM 57 MM 58 MM",1,1,"Gold Weight  (g)",2.79,1,1,"Diamond Carat (Cts)",0.93,1,1,,,,,"4,579","5,087"
"Simple","DE00173","Yellow Gold Diamond Engagement Earring for women",1,,"visible","18KT YELLOW GOLD DIAMOND EARING FOR WOMAN"," <li>18k YELLOW  GOLD DIAMOND ENGAGEMENT EARING FOR WOMEN </li>\n  <li>SIZE M  </li>\n  <li>DI.0.98 Carat Gold Gram total weight 6.46 </li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00173.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00173.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",6.46,1,1,"Diamond Carat (Cts)",0.98,1,1,,,,,"6,192","6,880"
"Simple","DE00135","White Gold Diamond Engagement Earring for women",1,,"visible","18KT WHITE GOLD DIAMOND ENGAGEMENT SET EARING"," <li>18k WHITE  GOLD DIAMOND ENGAGEMENT EARRING FOR WOMEN </li>\n  <li>SIZE Medium  </li>\n  <li>DI.1.03 Carat Gold Gram total weight 4.04</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00135.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00135.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",4.04,1,1,"Diamond Carat (Cts)",1.3,1,1,,,,,"6,591","7,324"
"Simple","DR00139","White Gold Diamond Engagement Ring for women",1,,"visible","18KT WHITE GOLD DIAMOND  ENGAGEMENT  RING"," <li>18k WHITE  GOLD DIAMOND ENGAGEMENT RING FOR WOMEN </li>\n  <li>SIZE 54</li>\n  <li>DI.0.43 Carat Gold Gram total weight 1.98 </li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00139.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00139.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",1.98,1,1,"Diamond Carat (Cts)",0.43,1,1,,,,,"2,400","2,667"
"Simple","DR00380","Rose Gold Diamond Saphhire Twirling Ring for Women",1,,"visible","18KT Rose Gold Diamond Saphhire Twirling Ring for Women"," <li>18KT Rose Gold Diamoond Saphhirer Twirling  Ring for Woman </li>\n  <li>SIZE54 </li>\n  <li>DI.1.40 Carat ,Gold Gram total weight 16.06,Other stone 6.83 </li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/E-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/F-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/G-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/H-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/I-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/J-DR00380.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/K-DR00380.jpg",,,"Gold Type","Rose Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Twirling ",1,1,,,,,"Gold Purity","18K",1,1,"Stone","Color Stone",1,1,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",16.06,1,1,"Diamond Carat (Cts)",1.4,1,1,"Sapphire (Cts)",6.83,1,1,"18,515","20,572"
"Simple","DP00269","Unisex White Gold Diamond Pendant with Sapphire",1,,"visible","18KT White Gold Diamond Pendant with Saphhire and chain"," <li>18k White Gold Diamond Pendant with saphhire for Unisex </li>\n  <li>SIZE Medium  </li>\n  <li>DI.0.78 Carat Gold Gram total weight 8.67 Other stone 2.84 </li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00269.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DP00269.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Cross Shape",1,1,,,,,"Gold Purity","18K",1,1,"Stone","Color Stone",1,1,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",8.67,1,1,"Diamond Carat (Cts)",0.78,1,1,"Sapphire (Cts)",2.84,1,1,"9,213","10,237"
